"year","month","flow","rain","temp"
1988,10,0.647741935483871,0.3,59.8064516129032
1988,11,9.89133333333333,4.46,54.6666666666667
1988,12,27.5290322580645,7.72,49.0322580645161
1989,1,12.7806451612903,1.36,48.5322580645161
1989,2,7.71428571428571,1.52,48.7857142857143
1989,3,131.390322580645,7,55.4032258064516
1989,4,13.0166666666667,0.72,58.9666666666667
1989,5,5.44193548387097,0.1,58.8387096774194
1989,6,1.97,0.02,63.4833333333333
1989,7,0.478387096774194,0,63.7258064516129
1989,8,0.403548387096774,0.07,61.9677419354839
1989,9,1.29866666666667,0.87,61.5666666666667
1989,10,8.48,2.19,59.2258064516129
1989,11,15.59,1.12,55.5
1989,12,9.63548387096774,0.05,52.1612903225806
1990,1,18.241935483871,2.64,50.3225806451613
1990,2,34.2428571428571,3.33,49.375
1990,3,13.5290322580645,2.65,53.0967741935484
1990,4,6.17333333333333,0.43,59.05
1990,5,16.258064516129,4.11,58.3387096774194
1990,6,5.51333333333333,0.03,63.3166666666667
1990,7,1.91612903225806,0,64.9516129032258
1990,8,0.753870967741936,0,65.258064516129
1990,9,0.943333333333333,0.21,64.0833333333333
1990,10,0.965806451612903,0.67,60.9354838709677
1990,11,1.36,0.47,54.5
1990,12,2.74193548387097,1.65,45.5806451612903
1991,1,2.5741935483871,0.81,49.6290322580645
1991,2,6.3,4.92,54.8928571428571
1991,3,114.609677419355,10.6,49.9193548387097
1991,4,16.63,0.8,54.8166666666667
1991,5,5.72258064516129,0.06,57.0967741935484
1991,6,3.20666666666667,0.26,59.55
1991,7,1.84516129032258,0.02,62.5967741935484
1991,8,1.06870967741935,0.04,65.4838709677419
1991,9,0.482,0.06,62.7166666666667
1991,10,2.04967741935484,2.26,61.241935483871
1991,11,1.89,1.51,55.9333333333333
1991,12,8.03548387096774,4.25,50.6935483870968
1992,1,10.3935483870968,3.19,50.5806451612903
1992,2,150.31724137931,11.1,55.5172413793103
1992,3,39.1612903225806,4.35,56.2258064516129
1992,4,14.03,0.28,61.1
1992,5,6.22903225806452,0,61.8548387096774
1992,6,2.68666666666667,0.55,62.8666666666667
1992,7,1.48354838709677,0,66.7096774193548
1992,8,0.169032258064516,0.02,65.258064516129
1992,9,0.107333333333333,0,63.8
1992,10,1.57645161290323,1.18,62.7903225806452
1992,11,2.21333333333333,0.23,55.9666666666667
1992,12,33.3032258064516,7.1,49.3870967741936
1993,1,337.741935483871,13.85,49.0161290322581
1993,2,164.392857142857,8.02,51
1993,3,65.741935483871,3.44,57.0967741935484
1993,4,28.3333333333333,1.37,57.45
1993,5,11.7451612903226,0.94,60.8387096774194
1993,6,9.84666666666667,0.56,63.9833333333333
1993,7,4.67096774193548,0,62.7741935483871
1993,8,2.11935483870968,0,64.9838709677419
1993,9,1.66333333333333,0,62.6333333333333
1993,10,2.65161290322581,0.61,62
